measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,93,Kingdom of Sweden,1,Male,8,15-19 years,558,Mental disorders,1,Number,2008,53019.27897194019,60010.6853210013,46836.777074673926
5,Prevalence,93,Kingdom of Sweden,2,Female,8,15-19 years,558,Mental disorders,1,Number,2008,60272.865411802726,68507.15330752495,53086.415272557715
5,Prevalence,93,Kingdom of Sweden,3,Both,8,15-19 years,558,Mental disorders,1,Number,2008,113292.14438374291,127097.44146557854,100611.24475521062
5,Prevalence,93,Kingdom of Sweden,1,Male,8,15-19 years,558,Mental disorders,1,Number,2009,52584.42468586868,59507.872454229604,46421.9310019946
5,Prevalence,93,Kingdom of Sweden,2,Female,8,15-19 years,558,Mental disorders,1,Number,2009,59691.21399452093,67883.7918311618,52782.71024716718
5,Prevalence,93,Kingdom of Sweden,3,Both,8,15-19 years,558,Mental disorders,1,Number,2009,112275.63868038962,126180.73495348623,99764.13303019777
5,Prevalence,93,Kingdom of Sweden,1,Male,8,15-19 years,558,Mental disorders,1,Number,2010,51040.72734626313,57917.49097645907,44911.47345932479
5,Prevalence,93,Kingdom of Sweden,2,Female,8,15-19 years,558,Mental disorders,1,Number,2010,57800.501303830686,65737.228980781,51046.22984733463
5,Prevalence,93,Kingdom of Sweden,3,Both,8,15-19 years,558,Mental disorders,1,Number,2010,108841.22865009379,122372.43037384542,96903.82801364156
5,Prevalence,93,Kingdom of Sweden,1,Male,8,15-19 years,558,Mental disorders,1,Number,2011,48944.112041938475,55725.70080133305,43141.07231086682
5,Prevalence,93,Kingdom of Sweden,2,Female,8,15-19 years,558,Mental disorders,1,Number,2011,55511.127974821255,63072.21252746049,48953.48786417165
5,Prevalence,93,Kingdom of Sweden,3,Both,8,15-19 years,558,Mental disorders,1,Number,2011,104455.24001675972,117156.86880215103,92961.63574502322
